연번,이름,내용
62,고등어 요리 소스로는 토마토를 이용하세요.,"등푸른 생선의 하나인 고등어는 내장에 들어있는 효소의 작용으로 부패가 쉽게 이루어지기 쉬워 신선한 고등어를 고르도록 유의해야 하며 조리 시에도 각별한 주의를 해야 한다.  고등어에는 다불포화지방산인 EPA(eicosapentaenoic acid)와 DHA(docosahexaenoic acid)가 들어있어 혈중 콜레스테롤치를 떨어뜨리고 중성 지방을 감소시키는 효과가 있으며 혈액이 응고되는 것을 막아 주기도 하며 각기, 뇌빈혈에 좋은 비타민 B1도 풍부하다.  또한 치매와 악성 빈혈을 예방하는 비타민 B12도 들어있으며 노화방지에도 도움을 주고성적 기능을 높여주는 비타민 E도 풍부하다.  이렇게 풍부한 영양소를 함유하고 있고 육질도 부드러우나 신선도 유지가 힘들고 비린내가 강한 것이 흠이다. 이를 제거하기 위해서는 조리할 때 더욱 신경을 써야 하는데 고등어를 조릴 때 소스로 토마토케첩을 이용하면 좋다.  토마토가 암을 예방하는 리코펜의 함량이 높은 식품이라는 것은 이미 잘 알려져 있으며 외국에서는 토마토를 요리재료로 많이 이용하고 있다. 고기나 생선 등을 요리할 때 토마토를 함께 먹으면 소화를 촉진시켜 위의 부담을 덜어주고 산성화를 막는 효과가 있어 좋다."
63,노화를 방지하는 새우와 달걀,"새우는 콜레스테롤이 많은 대표적인 식품이나 새우에는  아미노산의 일종인 타우린이 풍부해 콜레스테롤의 양의 떨어뜨려주며 간장의 콜레스테롤 대사를 촉진하는 특성도 가지고 있다.  또한 달걀은 소화 이용률이 높아 청소년이나 임산부 등 많은 단백질을 필요로 하는 사람들이 섭취하면 좋은 식품이다. 특히 달걀에는 항암, 항동맥경화, 혈압 강하 작용과 정력 감퇴 예방 효과가 있는 메치오닌이 풍부하게 들어 있다. 따라서 최소한 하루 1개 정도의 달걀을 먹는 것은 바람직하다.  뇌에 아세칠콜린이라는 성분이 부족하면 노화가 촉진되고 치매에 걸리기 쉬워지는데 이 아세칠콜린을 생성하기 위해서는 콜린이라는 비타민이 필요하다. 이 콜린을 많이 가지고 있는 식품도 난황이다.  따라서 노화방지를 위해서는 양질의 단백질이 풍부한 새우와 달걀을 혼합해 먹으면 효과가 있다."
64,부드러운 전복 요리를 위해서는 우유를," 전복(全鰒)은 전복과에 속하는 조개로 예부터 조개류의 황제로 군림했으며 때로는 신비의 대상으로 선망의 제품으로 옛 문헌상에도 자주 등장하며 불로장생을 꿈꾸던 진시황도 전복을 좋아했다고 한다.  전복의 수명은 약12년으로 수온이 10~23℃ 정도에서 주로 서식하며 얕은 바다의 암초나 작은 바위에 붙어서 사는데 주로 부착성 규조류 따위의 해초류를 먹고 산다. 날 것을 먹으면 오돌오돌 씹는 맛을 느낄 수 있으며 감칠맛을 느끼려면 익혀 먹으면 된다. 특히 미식가들이 주로 봄에서 초여름에 먹는 전복회 맛은 살이 단단해서 촉감이 좋을 뿐만 아니라 맛도 일품이다. 전복은 아르기닌(Arginine)이라는 아미노산이 1100mg으로 타 식품에 비해 월등히 풍부하고 특히 전복은 풍부한 단백질에 글루탐산과 로이신, 알지닌 등의 아미노산이 풍부하기 때문에 독특한 단맛을 낼뿐만 아니라 철을 비롯하여 마그네슘과 구리 등의 무기질과 여러 가지 비타민의 함량이 풍부하다.   예부터 고급 수산물로 취급되어 피부미용, 자양강장, 산후조리, 허약체질 등에 탁월한 효능이 있어 식용 뿐 만 아니라 약용으로도 많이 이용된다.  그 밖에 전복을 쪄서 말렸을 때 오징어나 문어처럼 표면에 흰가루가 생기는데 이것이 바로 타우린 성분이다. 이 타우린은 담석을 녹여내고 콜레스테롤의 함량을 저하시킬 뿐만 아니라 심장의 기능을 향상시키고 시력회복과 혈압 강하에도 매우 효과적이다.   전복은 회로 먹거나 전복 다식, 전북 지짐, 전복죽 등으로 요리해 먹는데 전복을 삶을 때 무와 함께 삶아서 식힌 다음 우유에 담가두면 단단한 전복을 부드럽고 맛있게 먹을 수 있으며 전복에 부족한 필수아미노산을 자연스럽게 보충할 수 있다."
65,"바다삼과 육지삼의 만남, 양삼탕"," 인삼은 육지에서 재배되고, 해삼은 바다에서 살지만 두 식품은 서로 조화가 잘된다.  바다의 인삼이라 불리는 해삼은 자르면 3개월 만에 절단 부위가 재생될 만큼 재생력도 뛰어나 수산물 가운데서는 뛰어난 식품으로 애용되고 있다.   해삼은 무기질로 칼슘, 요오드, 알긴산 등이 풍부해 혈액을 정화하고 신진대사를 촉진할 뿐 아니라 병으로 허약해져 소변이 잦거나 변비가 있는 사람에게 좋은 식품이다. 해삼을 초장에 찍어 먹으면 단단해져 씹는 맛이 좋을 뿐 아니라 세계 여러나라에서 고급 요리의 재료로 이용되고 있다.  인삼은 신비한 효험 때문에 예부터 귀한 약재로 쓰였으며 특히 고려 인삼은 세계 제일의 품질을 인정받고 있다.  인삼은 각종 약리 효과를 나타내는 사포닌이 20여종이나 들어 있는데, 스트레스, 피로, 우울증 등에 효험이 있고 피부를 윤택하게 하며 빈혈, 당뇨, 동맥경화에도 유효하며, 항암 효과도 있다.  바다 삼(蔘)과 육지 삼의 재료 두 가지를 혼합해 영양면에서 뛰어난 요리로 양삼탕(兩蔘湯)이 있는데 한방요리에서는 불로소양삼(不老燒兩蔘)이라고 부른다. 이 요리를 만드는데 사용되는 재료는 해삼, 인삼, 닭날개, 전복버섯, 대파, 생강, 레터스, 쑥갓, 당근, 구기자, 육종용 등이다."
66,북어국엔 달걀을 넣어야 영양가 최고,"명태는 우리나라 사람들과 가장 친숙한 생선으로 가장 많이 잡혀 구하기 쉬웠을 뿐 아니라 고기 맛이 담백하고 특유의 시원한 맛 때문에 우리나라의 중요 수산물인 동시에 영양식품으로 잘 알려져 있다.  명태는 건조방식에 따라 겨울에 잡아 얼린 것을 동태, 말린 것을 북어 또는 건태라고 부르며 특히 산란기 중에 잡힌 명태를 동결과 기화를 반복하여 얼린 것을 더덕북어 또는 황태라고 부르는데 살이 연하고 부드러울 뿐 아니라 단백질의 양이 명태의 2배로 늘어나 전체 성분의 60% 정도를 차지할 만큼 고단백식품이 된다.  술을 마신 다음날에는 숙취해소를 위해 시원한 북어국을 끓여 먹는데 여기에는 아스파라긴산과 함께 ‘메티오닌’이라는 아미노산이 풍부하여 간의 피로를 덜어주고 간 기능을 향상시켜 준다. 또한 북어국은 지질이 적고 고단백 식품인데 반해 칼로리가 적어 비만환자나 노인들에게도 좋은 음식이며 피로를 풀어주고 혈압을 조절하는 효능도 있다.  북어국을 끓일 때 북어를 하루정도 찬물에 불려두었다가 쌀뜨물에 끓이면 맛도 좋고 북어살도 부드러워 먹기에 좋다. 또 달걀을 풀어 넣으면 시각적으로도 보기 좋을 뿐 아니라 북어가 가지고 있는 단백질의 영양 효율을 높여주는 역할을 해 주어 일석이조의 효과가 있다."
67,문어 살을 연하게 할 때는 무를 사용하세요.,"문어(文魚)라는 이름은 내뿜는 먹물로 글을 쓸 수 있다는 뜻에서 붙여진 이름으로 문어의 먹물은 그 외에도 적들의 침공을 받았을 때 적의 앞을 흐리게 하고 안전지대로 도망을 하는데 쓰인다.  적을 만났을 때 순식간에 보호색으로 자신을 숨기는 능력을 갖고 있어 ‘바다의 카멜레온’이라 불리는 문어는 한국과 일본, 알래스카, 북아메리카 캘리포니아 등지의 수심 100~1000ｍ에 분포하는 연체동물로 몸길이 3ｍ, 몸무게 30㎏에 이르는 초대형도 있다. 외투막은 짧은 달걀 모양으로 몸 표면에 작은 유두(乳頭)가 많으며 8개의 발에는 흡판이 있고 다리 사이의 막은 넓은 것이 특징이다.  문어는 시력감퇴, 빈혈, 동맥경화, 당뇨병 등에 효과가 좋으며 고기 추출물 속에는 타우린이라는 성분이 들어있다. 문어는 살이 단단해서 소화장애가 많아 속이 차고 소화기능이 약한 사람은 주의해야 한다.   문어를 요리할 때에는 각종 소화효소가 풍부한  무를 사용하면 좋다. 무즙은 문어살을 연하게 만들어 주고 문어 특유의 냄새를 없애주는데도 효과가 있다."
68,피로와 낮잠이 밀려오는 봄에는 홍어회냉면을 드세요.," 함경도 지방의 대표적인 음식인 함흥냉면은 생선회를 맵게 비벼 먹는 방법이 다른 지방과 다른데 함경도 지방에서는 생선으로 가자미를 썼으나 남쪽 지방에서는 홍어를 대신 사용하였다.  홍어는 가오리과에 속하는 물고기로 가오리과는 상어가 바다 밑바닥에서 살 때 환경 조건에 따라 변형된 물고기라서 성분, 조직, 맛이 비슷하다. 홍어는 상어보다는 단백질이 적고(14%), 지방은(0.5%) 훨씬 더 적다. 홍어, 가오리, 상어는 모두 연골 뼈로 되어 있으며 질소 화합물인 요소, 암모니아, 트리메틸아민 등을 대량 함유 하고 있다. 홍어의 먹이는 꽃게나 돔, 광어, 우럭, 멸치, 조기 등이어서 고단백질 알칼리성 영양식품의 보고라고 할 수 있다.  홍어는 관절염, 류마티스, 기관지에 효과가 좋으며 특히 감기에 특효가 있다고 하며 홍어탕은 장의 노폐물을 제거해주므로 위염을 억제하고 숙취해소에 효과가 좋으며 끈적끈적한 점액은 스테미너 식품으로 효능이 좋다고 알려져 있다.  또한 삭힌 홍어는 강알칼리성 식품으로서 산성체질을 알칼리성 체질로 바꿔주어 골다공증예방 및 산후조리에도 좋으며 병후회복과 기미, 주근깨, 검버섯은 물론 피부미용에도 좋은 식품으로 알려져 있다.  주성분이 전분인 국수사리에 이렇게 영양가가 풍부한 고단백질 식품인 홍어회 무침을 배합해 먹는 것은 영양 면에서나 맛의 조화를 생각할 때 서로 잘 맞는 식품이라고 할 수 있다."
69,생선 요리에는 식초를,"어류에는 독특한 취기와 맛을 지니고 있다. 이러한 취기에 익숙한 경우에는 어류를 좋아하나 그렇지 않은 사람도 많이 있다. 어류는 보통 지방함량이 낮은 힌살생선과 지방함량이 5~10%로 높고 어육의 색이 갈색, 분홍, 회색인 붉은 살 생선으로 구분된다.    힌살생선은 해저 가까이서 살고 있으며 운동도 별로 하지 않는데 비해 붉은살 생선은 바다표면에 가까운 곳에서 살며 활동이 심해 운동량이 많기 때문에  근육이 단단하고 지방함량이 높은 뿐 아니라 비린내가 많고 쉽게 부패한다는 특징이 있다.  고등어, 전갱이, 꽁치 등과 같은 등과 같은  생선은 구입 즉시 조리하는 것이 바람직하며 조리할 때에는 식초를 활용하면 이러한 결점을 보완할 수 있다. 식초에 들어있는 유기산이 단단한 육질을 부드럽게 해줄 뿐 아니라 비린내 제거효과와 살균 작용이 뛰어나 선도 유지가 약한  생선을 먹을 때 발생하는 식중독을 미연에 예방할 수 있다. 서구음식에서 생선에는 반드시 탈탈소스(tartar sauce)나 레몬즙을 곁들이는 것은 그러한 이유 때문이다.  또 조림을 할 경우 식초를 넣으면 뼈까지 연해서 생선 전체를 쉽게 먹을 수 있게 도와주며 식초와 물을 같은 비율로 따서 생선을 씻게 되면 조리 시에 생선의 모양이 흐트러지지 않고 그대로 유지되는 효과가 있을 뿐 아니라 생선을 구울 때 생선 표면에 식초를 발라두면 껍질이 팬에 달라붙지 않고 잘 구워진다. "
70,과메기와 쑥국으로 옛 맛을 찾아봐요," 포항의 구룡포 등지에서 뼈를 바른 꽁치를 해풍에 말린 것을 과메기라 하여 축제를 펼치는데 본래 청어를 말린 것을 과메기 또는 과며기 등으로 부른다. 요즈음에는 청어를 구하기가 힘들어지자 꽁치에 소금 간을 해 말리고 먹는 방법까지도 변형시켜 상품화한 경우라고 할 수 있다.  서양에는 햄이나 소시지 등 훈연식품이 많은데 우리나라에는 과메기가 대표적인 훈연식품이라고 할 수 있다. 경상도 지방에서는 청어를 말리는 방법이 특이해 고유한 맛이 나는데 이런 과메기를 그대로 구워 먹어도 맛좋고 여기에 쑥을 넣고 끓이게 되면 나른해지기 쉬운 봄에 잃었던 입맛을 쉽게 찾을 수 있다.  청어에는 양질의 단백질이 풍부하며 불포화지방산인 EPA와 DHA를 함유하고 있어 콜레스테롤 수치를 감소시켜 성인병 치료에 효과가 있을 뿐 아니라 뇌 기능을 활성화시켜 치매를 예방해 준다.  또한 쑥은 무기질과 비타민 A와 C를 많이 함유하고 있어 세균 침입을 막아주는 효능이 뛰어날 뿐 아니라 쑥잎은 한방에서는 애엽이라 하여 지혈작용과 진통효과가 뛰어나 복통, 토사, 출혈의 치료에 사용한다.  지금은 사라져가는 음식이 되었지만 봄철에 겨울을 이기고 돋아나는 여릿여릿한 쑥잎에 과메기를 넣고 끓이면 쑥의 독특한 향과 청어의 맛이 잘 어우러져 맛있는 애탕이 될 것이다.  "
71,가자미식해의 소화를 돕는 무,"가자미식해는 가자미를 절여 좁쌀밥이나 강냉이쌀밥, 무, 엿기름가루 등으로 버무려 삭힌 음식으로 함경도와 경상도에서 많이 해먹는데 반찬이나 술안주에 좋은 고단백질의 발효식품이다. 대체적으로 남쪽지방은 기온이 높아 음식이 상하기 쉬우므로 잔생선류로 젓갈을 만들거나 간을 짜게 해서 이용하는 반면 북쪽지방은 날씨가 춥고 온도가 낮은 관계로 비교적 간을 약하게 하고 큼직한 생선류를 많이 사용한다. 도루묵이나 명태 등도 식해의 재료로 많이 이용하며 일반젓갈은 짠맛이 강하나 식해는 염분함량이 적은 편이다.     가자미식해를 만들 때는 가자미보다 무를  많이 넣는데 무는 비타민 C와 수분을 많이 함유하고 있을 뿐 아니라 소화를 돕는 효소가 많다. 무속에 들어있는 아밀라아제, 산화효소, 요소 분해효소, 카탈라아제 등 생리적으로 중요한 효소들이 많이 있는데 이 성분들은 열에 약한 것이 특징이나 가자미식해를 만들 때는 가열을 하지 않으므로 효소가 파괴되지 않는다.   이러한 효소의 작용과 발효과정에서 단백질이 분해되어 저분자의 펩타이드와 아미노산 및 젖산 등이 생성되어 독특한 맛과 소화성이 좋은 음식으로 변화된다."
72,돼지고기의 소화를 돕는 새우젓," 돼지고기는 부위에 따라 다소 성분은 다르나 보통 단백질 12~17%, 지방22~44%를 함유하고 있으며 조직이 연해 숙성시킬 필요가 없는 영양가 높은 육류이다.  다른 고기에 비해 지방 함량이 많아 성인병과 체증증가를 염려해 돼지고기를 꺼리는 경우가 많긴 한데 필수지방산인 리놀산은 뇌신경을 구성하는 주요 지질성분이며 게다가 비타민 E· B1 · B2 등은 쇠고기보다 훨씬 많이 들어있다.  그러나 담백한 음식을 주로 먹는 사람들은 기름진 돼지고기를 먹으면 소화가 되지 않는 경우가 있는데 이럴 경우엔 새우젓을 함께 곁들이면 고기의 맛도 좋아질 뿐 아니라 소화력이 증진되므로 새우젓과 돼지고기는 서로 잘 맞는 합리적인 음식배합이라고 할 수 있다.  돼지고기에 들어있는 단백질은 분해효소인 프로테아제에 의해 펩타이드를 거쳐 아미노산으로 바뀌게 되는데 새우젓이 발효되는 동안에 많은 양의 프로테아제가 생성되어 단백질의 분해를 촉진시켜 소화를 돕는다.  또한 새우젓에는 지방을 분해하는 효소인 리파아제가 함유되어 있어 돼지고기에 들어있는 지방을 지방산과 글리세린으로 바꿔주는 역할을 하여 우리 몸에 쉽게 흡수가 되는 것이다."
73,쇠고기와 두릅을 이용해 산적을 만들어요.,"쇠고기는 단백질의 함량이 높고 필수아미노산이 골고루 들어 있어 영양가가 높은 반면 비타민, 미네랄 등이 함량이 부족하며 쇠고기 중의 지방은 고급 포화 지방산이 많아 그 소화흡수가 좋지 못하다.   따라서 쇠고기를 먹을 때는 채소와 곁들여 먹음으로써 지방의 소화 흡수도 돕고, 부족한 비타민과 미네랄 등을 섭취할 수 있다. 특히 향긋하면서도 쓴맛이 강한 봄나물들은 대개 식욕을 돋워주고 기분을 상쾌하게 하며 마음을 진정시키는 작용을 한다.   그중에 두릅은 고유의 향미가 짙고, 칼슘 마그네슘 등의 미네랄과 비타민 A·B·C가 풍부해 쇠고기와 두릅을 함께 먹으면 맛 뿐 아니라 영양면에서도 우수하다.  두릅은 각종 성인병을 예방해 주는데 특히 혈당을 내리고 혈중지질을 낮추어 주므로 당뇨병, 신장병, 위장병에 탁월한 효과가 있다.  쇠고기와 두릅을 함께 먹는 가장 대표적인 방법은 쇠고기 두릅 산적을 만들어 먹는 것이다. 이는 동물성 식품과 식물성 식품을 잘 조화시킨 경우로 맛과 영양면에서 서로 잘 맞는 음식이라고 할 수 있다."
74,불고기는 들깻잎에 싸서 드세요.," 불고기를 먹을 때는 참기름을 바르고 들깻잎이나 상추 등 야채에 싸먹는 것이 일반화되어 있다. 이는 맛에서 뿐 만 아니라 영양면에서 생각할 때도 합리적인 식생활이라고 할 수 있다.  불고기의 재료인 쇠고기는 부위에 따라 다소 성분의 차이가 있지만 성장 발육에 필요한 모든 필수아미노산이 골고루 들어 있으며 특이 어린이의 발육에 가장 필수적인 라이신이라는 필수 아미노산은 8.4%나 들어있다.  전체의 10~30%정도 들어 있는 쇠고기의 지방은 고급포화지방산이 많은데 쇠고기를 먹을 때 참기름을 묻혀서 먹으면 필수지방산을 충분히 섭취할 수 있고 콜레스테롤이 혈관에 축척되는 것을 예방할 수 있어서 좋다.  들깻잎은 철분이 시금치의 2배 이상이나 들어있고 특히 칼슘, 비타민A 와 C가 풍부할 뿐 아니라 녹색을 띄는 엽록소를 많이 함유하고 있다.  영양면에서 보더라도 들깻잎은 쇠고기에 부족한 성분을 많이 함유하고 있으며 양질의 섬유소를 많이 함유하고 있어 쇠고기를 많이 섭취했을 때 생기는 변비를 예방하는 효과가 있으므로 불고기를 먹을 때는 들깻잎에 싸먹는 것이 좋다."
75,설렁탕의 누린내를 제거해주는 깍두기,"설렁탕은 설농탕, 선농탕 등으로 불리기도 하는데 &#65378;조선요리&#65379;(1940) 에 “설렁탕은 우육의 잡육, 내장 등 소의 모든 부분을 뼈가 붙어 있는 그대로 하루쯤 곤다. 경성지방의 일품요리로 값싸고 자양이 있는 것이다.”라고 하였다. 설렁탕이 곰탕과 다른 점은 뼈가 붙은 고기를 많이 넣어 오래 곤 국으로 국물의 색이 희고, 국물에 간을 하지 않고 각자가 기호에 따라 간을 하고 조미품을 넣어 먹는 점이다.    설렁탕은 오래 끓여 각종 영양성분이 국물 속에 많이 함유되어 있으며 특히 필수 아미노산을 골고루 가지고 있는 영양가 높은 음식으로 소화도 잘되고 먹기도 편하다.  설렁탕에는 보통  깍두기가 함께 곁들여지는데 깍두기는 설렁탕의 누린내를 제거해줄 뿐 아니라 무의 아삭아삭 씹히는 느낌이 입맛을 돋워주며 소화를 돕는 역할을 한다.  무는 소화와 해독에 효과가 뛰어나고 특히 해독 효과 때문에 술, 생선회, 밀가루 음식과 궁합이 잘 맞는 식품이다. 또 디아스타제 같은 전분 소화효소는 물론 단백질 분해효소도 가지고 있어서 소화 작용을 돕는데 고기나 생선회를 먹을 때 무와 같이 먹거나 무즙을 내서 여기에 찍어 먹는 이유도 이 때문이다.   또한 무는 노폐물을 제거해주고 독을 풀어주는 효과가 있으며 이뇨작용이 있어서 혈압을 조절해주며 담석을 용해하는 효능이 있어 담석증을 예방하는데도 효과가 있다."
76,들깨가루로 보신탕의 누린내를 제거,"  개고기를 삶아 된장을 푼 국물을 붓고 마늘, 생강, 파, 고춧가루, 들깨가루 등을 넣어 양념하여 푹 끓인 것을 개장 또는 지양탕, 보신탕이라고 부른다.  보신탕이란 이름에 대해서 생각해 본다면 보는 부족한 것을 채운다는 뜻이며 신은 콩팥(신장)을 뜻하는 것으로 삼복더위의 화기를 이기기 위해 혈액순환을 돕고 양기를 높이는 식품으로 예부터 즐겨 먹어온 것이다. 특히 우리나라는 채식 위주의 식사로 단백질이 부족하기 쉬운데 보신탕은 이런 우리의 식생활에 영양 보충식으로 애용되어 왔다.  다른 육류에 비해 고단백질, 고지방 식품이며 소화 흡수가 빠르고 아미노산 조직이 사람과 가장 비슷해 단백질 흡수율이 높아 병후의 조리, 상처치료 등에 효과가 있는 식품이다. 개고기는 소화력이 뛰어난 아미노산 성분과 비타민A 와 B, 지방질이 풍부하여 보양음식으로 제일이며 육질이 연해서 먹기가 편하다.   보신탕을 먹을 때 들깨가루를 넣으면 개고기의 누린내를 제거해 주는 효과가 있으며 개고기 중의 콜레스테롤 피해를 덜어주는 효과가 있다. 들깨가루는 오래두면 과산화지질이 잘 만들어지므로 신선도를 유지한 들깨가루를 넣도록 한다."
77,닭고기에 인삼을 넣어 더위를 이겨보세요.,"삼복더위에는 쉽게 치지고 식욕이 떨어질 뿐 아니라 만성피로감을 느끼는 경우가 많은데 이럴 경우 대표적 보양식품의 하나로 삼계탕을 즐겨 먹어왔다. 더위로 인해 스트레스를 받으면 몸 안의 단백질과 비타민 C의 소모가 많아지는데 여름 별식인 삼계탕은 영양의 균형을 이루고 있어 좋은 스테미나식이 된다.  삼계탕은 닭고기(알을 낳기 전의 어린 닭)가 주재료인데 여기에 인삼, 찹쌀, 밤, 대추, 마늘을 넣어 끓인 것으로 닭고기는 쇠고기보다 맛이 담백하고 연해 소화 흡수가 잘 되는 것이 특징이다.  또 닭고기는 메치오닌과 라이신 등 필수 아미노산을 많이 함유하고 있으며 소화되기 쉬운 지방질이 많아 임산부나 청소년들에게 더없는 영양식이다.  삼계탕에 넣는 인삼은 약효가 뛰어난 사포닌 등이 들어있어 예부터 건강식품과 약용으로 많이 쓰였는데 동맥경화증, 당뇨병, 고혈압, 빈혈증, 심부전, 우울증 등에 약효가 있다. 또한 피부를 윤택하게 하고 암세포의 증식을 막는 항암효과도 뛰어나다."
78,옻독을 중화시키는 닭고기,"예로부터  몸이 차고 아랫배가 냉할 때, 양기가 약한 사람의 보약으로 닭과 옻을 넣고 죽을 끓여 먹는다. 옻의 성분인 ‘플라보노이드’와 ‘우루시올’은 암세포 전이를 억제하는 항암효과가 뛰어나며 한방에서는 옻나무 잔액을 채취해 자연건조된 것을 건칠이라 부르는데 이는 숙취해소, 간 기능을 강화, 혈액순환 촉진 등 다양한 약리 효과가 있는 것으로 밝혀졌다.   또한 황도연의 ‘방약하편’이나 허준의 ‘동의보감’을 보면 옻이 따뜻한 성질과 신맛을 지니고 있어 어혈과 적취를 풀어주고 장을 잘 통하게 하여 기생충을 죽이며 피로를 다스려주는 효능이 있으나 독을 지니고 있다고 나와 있다.  이렇게 효능이 뛰어난 옻이지만 알러지를 일으키는 독성이 있으므로 사람에 따라 옻을 타는 경우가 있는데 옻의 독성을 중화시키면서 먹는 것이 중요하다. 옻의 중화능력이 있는 닭과 함께 삶아 옻닭을 만들면 비교적 간단하고 안전하게 옻을 섭취할 수 있는데 옻의 독으로 인한 위장의 손실을 막아주고 옻의 효능을 높일 수 있다. 또 옻닭에 넣는 찹쌀은 제독 작용을 해 옻독의 영향을 크게 줄여준다.  또한 옻닭은 강장강정 효과가 뛰어난데 닭의 내장을 제거하고 뱃속에 옻나무 껍질을 넣어 삼계탕을 끓었듯이 푹 끓여먹으면 훌륭한 건강식이 된다. "
79,선짓국의 결점을 보완해주는 콩나물,"예부터 얼굴색을 보고 건강을 점쳤는데 이는 혈액의 색깔이 얼굴에 반영되기 때문일 것이다. 빈혈에 걸린 사람들은 얼굴색이 좋지 않으며 매사 피로감을 느끼기 쉬우므로 충분한 철분을 섭취해 주어 빈혈을 예방해야 한다.  빈혈이 있는 경우 철분흡수를 방해하는 콜라, 감, 차 등을 피하는 것이 좋으며 철분 흡수를 위해서는 동물의 간, 심장, 콩팥, 살코기, 콩, 달걀, 미역, 김, 조개 등에 많은데 그 중 특히 으뜸인 것이 선짓국이다.  선짓국은 철분이 많을 뿐 아니라 고단백 식품으로 좋으나 비타민 C가 없어 다량 섭취할 경우 변비증에 걸리기 쉬운 결점이 있으므로 선짓국을 끓일 때는 콩나물이나 무, 우거지와 같은 채소를 넣어 끓이는 것이 바람직하다.  특히 콩나물은 콩이 자라기 위해 호흡을 하는 과정에서 단백질과 지방은 감소하고 비타민A와 C, 수분, 섬유소가 증가하여 선짓국의 결점을 보완해주는 역할을 하여 두 식품은 서로 조화가 잘 된다고 할 수 있다. 또한 콩나물의 뿌리부분에는 아미노산의 일종인 아스파라긴산이 들어있어 숙취해소 효과가 뛰어나 해장국으로도 좋다."
80,육류의 누린내 제거효과가 뛰어난 겨자,"육류는 양질의 단백질을 제공해주는 식품이지만 고기 특유의 누린내가 있어 제대로 조리하지 않으면  맛의 저하를 가져온다. 고기의 누린내를 제거하기 위하여 여러 가지 향신료를 사용하는데  후추와 함께 겨자가 많이 이용된다. 겨자의 씨를 가루로 만들어 물에 풀어 만든 향신료로 맵고 향기로워 입맛을 자극시키는 역할을 하므로 육류조리 외에도 냉면요리나 막국수 등에도 사용된다. 겨자분말에 물을 넣고 교반하면 자극성물질이 형성된다. 이는 분말속에 함유되어 있는 시니그린(sinigrin)이 효소 미로시나제(myrosinase)의 작용으로 생긴 알릴 이소시아네이트(allyl isothiocyanate)이다. 이 물질의 자극성은 미뢰를 둔하게 하여 누린내를 약화시킨다. 겨자는 탄수화물과 단백질, 비타민 A와 C가 풍부하며 카로틴, 칼슘, 철을 골고루 함유하고 있으며 몸 안의 어독을 풀어주는 효과가 있을 뿐 아니라 성질이 따뜻하여 몸이 찬 사람에게는 더할 나위 없이 좋은 식품이기도 하다. 한방에서는 폐의 기능을 높여주고 가래를 삭여주는 효능과 살균 소독에 효과가 있어 염증을 치료해주는 것으로 쓰인다."
81,육회는 배와 함께 드세요.,"회는 생선이나 해산물, 육류 등을 날것으로 먹는 음식이다. 중국은 육류나 생선회를 먹지 않지만 일본은 세계적으로 생선회가 유명하다. 우리나라는 육류회나 생선회 모두 즐겨 먹는다. 육회는 신선한 날고기의 맛을 즐기는 음식으로 술안주에 적합하다. 쇠고기의 연하고 기름기가 없는 부위인 우둔살이나 홍두께살로 만든다.   얇게 저며서 가늘게 채 썰어 놓은 쇠고기를 간장,  파, 마늘 다진 것과 설탕, 후춧가루를 섞어 만든 양념장에 고루 무쳐서  채 썬 배와 함께 낸다.  육회를 할 때 배를 쓰는 이유는 배에 육류를 분해하는 효소가 들어 있어 고기의 소화를 돕기 때문이다. 또 배의 오돌톨한 표면에는 변비를 예방하는 석세포가 들어있어 장운동을 촉진하는 역할을 한다.  비타민의 함량은 사과보다 적어 비타민을 섭취하고자 할 때에는 적당하지 않으나, 위궤양, 변비, 이뇨작용 촉진에 효능이 뛰어나다. 또한 기침과 가래가 심할 때에 먹으면 좋고 목이나 폐의 염증을 완화시키는 효과도 있다.  배의 단맛은 대부분이 과당이며 사과산 구연산 주석산등의 유기산이 적어 신맛이 없으며, 체내 알코올을 조기 분해 시켜 주독을 풀어주고 갈증을 해소하는 과일이다. 그러나 배는 몸을 차게 하는 과일이므로 설사나 냉증이 있는 사람은 먹지 않는 것이 좋다."
